Species names;Family;Orchard;Maize;Rice;Rubber;Teak;Bambou;Fallow;Community forest;Secondary forest;Occurence
Aporosa octandra;Phyllanthaceae;1;1;0;1;1;1;1;1;0;14
Lepisanthes rubiginosa;Sapindaceae;0;1;1;1;1;1;1;1;0;14
Lygodium flexuosum;Lygodiaceae;1;1;0;1;1;1;1;1;1;12
Chromolaena odorata;Asteraceae;0;1;0;1;1;1;0;0;1;10
Ageratum conyzoides;Asteraceae;1;1;1;1;0;0;0;0;0;9
Calamus viminalis;Arecaceae;1;0;0;1;0;1;0;1;1;8
Dioscorea bulbifera;Dioscoreaceae;1;1;0;1;0;1;1;0;1;8
Leea indica;Vitaceae ;1;0;0;1;1;1;0;1;1;7
Lygodium polystachyum;Lygodiaceae;1;0;0;1;0;0;0;1;1;7
Thysanolaena latifolia;Poaceae;1;0;0;1;1;0;0;1;1;7
Mimosa diplotricha;Fabaceae;0;1;0;1;1;1;0;1;0;7
Amalocalyx microlobus;Apocynaceae;0;0;1;1;1;1;0;1;0;7
Mitracarpus villosus;Rubiaceae;1;1;0;1;0;0;0;0;0;6
Paspalum conjugatum;Poaceae;1;1;0;1;1;1;0;0;0;6
Panicum brevifolium;Poaceae;0;1;0;0;1;1;0;0;1;6
Combretum sp;Combretaceae;0;0;0;1;0;1;0;1;1;6
Dalbergia cana;Fabaceae;0;0;1;1;1;1;0;0;1;6
Eugenia syzygioides;Myrtaceae;1;0;0;0;1;0;1;0;1;5
Paederia pilifera;Rubiaceae;0;1;0;0;1;1;0;1;0;5
Cyrtococcum accrescens;Poaceae;0;1;1;1;0;1;0;0;0;5
Hevea brasiliensis;Euphorbiaceae;0;0;0;1;0;0;0;0;0;5
Cratoxylum formosum;Hypericaceae;0;0;0;1;0;1;0;1;1;5
Ficus hispida;Moraceae;0;0;0;1;1;0;0;1;1;5
Ichnocarpus frutescens;Apocynaceae;0;0;0;1;1;1;0;0;1;5
Zea mays;Poaceae;1;1;0;0;0;0;0;0;0;4
Momordica charantia;Cucurbitaceae;1;0;0;1;1;0;0;0;0;4
Triumfetta rhomboidea;Malvaceae;1;0;1;1;0;1;0;0;0;4
Dioscorea alata;Dioscoreaceae;0;1;0;1;1;0;0;1;0;4
Dioscorea glabra;Dioscoreaceae;0;1;0;1;0;1;0;0;0;4
Tectona grandis;Lamiaceae;0;0;0;0;1;1;0;0;0;4
Cajanus goensis;Fabaceae;0;0;0;1;1;1;0;0;0;4
Aporosa villosa;Phyllanthaceae;0;0;0;1;1;0;1;1;0;4
Combretum quadrangulare;Combretaceae;0;0;0;0;1;1;1;1;0;4
Litsea glutinosa;Lauraceae;0;0;0;0;1;1;1;0;1;4
